	#%Freq (Hz)	%Mic/Source_Real	%Mic/Source_Imag
78.500000000000014E+0	5.793773047450022E-3	-37.744657720626927E-3
79.000000000000014E+0	4.803224745460735E-3	-38.054376740727612E-3
79.500000000000014E+0	3.777217754248864E-3	-38.294771690576844E-3
80.000000000000014E+0	2.593714522451363E-3	-38.496306956757910E-3
80.500000000000014E+0	1.371679320492998E-3	-38.722661394922746E-3
81.000000000000014E+0	671.916884427641960E-6	-39.954437569409112E-3
81.500000000000014E+0	27.005572830278976E-6	-40.348527159954677E-3
82.000000000000014E+0	-811.363705806282940E-6	-40.999454535636783E-3
82.500000000000014E+0	-1.698553051471450E-3	-41.931294322693394E-3
83.000000000000014E+0	-2.954135412076763E-3	-42.464877955254277E-3
83.500000000000014E+0	-3.947022248137862E-3	-42.580855846696949E-3
84.000000000000014E+0	-4.798963890283357E-3	-42.270852372067874E-3
84.500000000000014E+0	-5.516185617350358E-3	-41.786594539390688E-3
85.000000000000014E+0	-6.654822534601122E-3	-40.815658595649659E-3
85.500000000000014E+0	-7.506686609771660E-3	-40.135185451916119E-3
86.000000000000014E+0	-8.987403022152745E-3	-39.781107181606462E-3
86.500000000000014E+0	-9.644382430589796E-3	-39.521805311308694E-3
87.000000000000014E+0	-10.257598603928672E-3	-39.529859577501464E-3
87.500000000000014E+0	-11.107385851451618E-3	-39.141003425019305E-3
88.000000000000014E+0	-12.056096816328261E-3	-38.821836076543999E-3
88.500000000000014E+0	-13.039127902274988E-3	-39.113144449674050E-3
89.000000000000014E+0	-13.378339095896787E-3	-39.386548986925923E-3
89.500000000000014E+0	-13.830673179713013E-3	-39.236482389588975E-3
90.000000000000014E+0	-14.257860048032723E-3	-38.717142793829096E-3
90.500000000000014E+0	-14.841979867169314E-3	-38.082690323629924E-3
91.000000000000014E+0	-15.577322227138710E-3	-37.553109734429678E-3
91.500000000000014E+0	-15.950395856400981E-3	-37.060281223993338E-3
92.000000000000014E+0	-16.124767818794541E-3	-36.390439708917699E-3
92.500000000000014E+0	-16.700624394796845E-3	-35.582012995392112E-3
93.000000000000014E+0	-17.023196524390133E-3	-34.895963723464513E-3
93.500000000000014E+0	-17.796910785065581E-3	-34.368956224157955E-3
94.000000000000014E+0	-18.474310639124737E-3	-34.167239274836447E-3
94.500000000000014E+0	-18.787130801998460E-3	-34.284462087166387E-3
95.000000000000014E+0	-18.987346674196756E-3	-34.046943261964974E-3
95.500000000000014E+0	-19.524053793805882E-3	-33.727654536582143E-3
96.000000000000014E+0	-19.891225748194914E-3	-33.559915497690496E-3
96.500000000000014E+0	-20.051674906023574E-3	-33.034216573253179E-3
97.000000000000014E+0	-20.432848559387314E-3	-32.959888300147670E-3
97.500000000000014E+0	-20.415694742094054E-3	-32.509785393470908E-3
98.000000000000014E+0	-20.589317875822803E-3	-31.601912527428978E-3
98.500000000000014E+0	-20.865524731122399E-3	-30.728084154996338E-3
99.000000000000014E+0	-21.300652408061574E-3	-30.246769997582947E-3
99.500000000000014E+0	-21.384271764734616E-3	-29.420037519693874E-3
100.000000000000010E+0	-21.396593098320583E-3	-29.099560090458349E-3
100.500000000000010E+0	-21.618154228098495E-3	-28.740146494436132E-3
101.000000000000010E+0	-21.448786873682416E-3	-28.271022636525572E-3
101.500000000000010E+0	-21.581834417745849E-3	-27.840554296727923E-3
102.000000000000010E+0	-21.277766389692369E-3	-27.618963767704341E-3
102.500000000000010E+0	-20.934406101736174E-3	-27.113527244610195E-3
103.000000000000010E+0	-21.085801890366771E-3	-26.816642865470409E-3
103.500000000000010E+0	-20.879887768028731E-3	-27.044114367432460E-3
104.000000000000010E+0	-20.125084069324881E-3	-26.481593933086699E-3
104.500000000000010E+0	-19.929453918710684E-3	-26.508491659782633E-3
105.000000000000010E+0	-19.369828790691292E-3	-27.359144564066313E-3
